sujet,date,statut
Comment les fresques spatiales de la NASA ont-elles transformé la perception de l'univers dans l'art mural des années 1960 ?,2025-10-15T14:59:19.170763,succès
Pourquoi les Mayas peignaient-ils des cartes célestes sur les murs de leurs temples astronomiques ?,2025-10-17T10:41:53.728557,succès
Quelle est la signification des spirales galactiques dans les peintures murales des observatoires préhispaniques ?,2025-10-21T10:44:30.234323,succès
Comment les cosmonautes soviétiques ont-ils influencé l'iconographie de l'art mural dans les pays du bloc de l'Est ?,2025-10-24T10:44:26.430520,succès
Quels pigments permettaient aux Aztèques de représenter le ciel nocturne sur les parois verticales de Teotihuacan ?,2025-10-28T07:35:11.842799,succès
Pourquoi la Station Spatiale Internationale interdit-elle certains types de peintures murales à bord ?,2025-11-04T07:34:18.822405,succès
Comment les fresques de la chapelle Sixtine créent-elles une illusion de profondeur cosmique vers le plafond ?,2025-11-11T07:35:00.637244,succès
Quelle est la différence entre les représentations mayas et égyptiennes de la voûte céleste en art mural ?,2025-11-18T07:13:56.069000,succès
Les graffitis spatiaux existent-ils vraiment sur les modules abandonnés en orbite ?,2025-11-25T07:15:08.652667,succès
Comment Diego Rivera a-t-il intégré les symboles cosmogoniques aztèques dans ses murales modernistes ?,2025-12-02T07:17:29.852331,succès
Pourquoi les moines tibétains peignent-ils des mandalas cosmiques sur des murs verticaux de plusieurs étages ?,2025-12-09T07:17:06.531122,succès
Quelle technique permettait aux peintres de la Renaissance de simuler l'infini céleste sur des surfaces planes ?,2025-12-16T07:18:42.521436,succès
Comment les observatoires mayas utilisaient-ils l'art mural pour enseigner les cycles astronomiques ?,2025-12-23T07:18:41.553847,succès
"Pourquoi la fresque ""L'Homme dans l'espace"" de Leonov est-elle considérée comme une révolution picturale ?",2025-12-30T07:17:29.774315,succès
Quels sont les défis techniques de peindre une fresque sur un mur de silo à fusée de 40 mètres ?,2026-01-06T07:21:41.079539,succès
Comment les Nazca reliaient-ils leurs lignes au sol avec l'art mural de leurs temples souterrains ?,2026-01-13T07:19:59.147543,succès
Pourquoi les architectes brutalistes soviétiques intégraient-ils systématiquement des mosaïques cosmonautiques verticales ?,2026-01-20T07:22:30.228761,succès
Quelle est l'histoire du premier graffiti réalisé dans un environnement à gravité zéro ?,2026-01-27T07:22:48.924077,succès
Comment les peintres baroques créaient-ils des trompe-l'œil de ciels ouverts sur l'univers dans les églises ?,2026-02-01T07:34:04.616932,succès
Pourquoi les Incas orientaient-ils leurs peintures murales astronomiques selon l'axe vertical solsticial ?,2026-02-02T07:45:58.933774,succès
Quelle est la signification des échelles cosmiques peintes sur les murs des kivas amérindiennes ?,2026-02-03T07:39:01.868878,succès
Comment les fresques spatiales chinoises diffèrent-elles radicalement des représentations occidentales du cosmos ?,2026-02-04T07:41:13.244101,succès
Pourquoi le muralisme mexicain post-révolutionnaire a-t-il tant utilisé la verticalité monumentale ?,2026-02-05T07:45:19.895978,succès
